"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    32237.90","    32348.00","    32057.20","    32102.90","      184671555","         3183.97"
"02-Jan-2020","    32133.15","    32465.45","    32121.40","    32443.85","      253558509","         4310.34"
"03-Jan-2020","    32326.95","    32329.80","    31960.40","    32069.25","      217584385","         4537.65"
"06-Jan-2020","    31910.45","    31914.45","    31170.55","    31237.15","      256236748","         5048.53"
"07-Jan-2020","    31598.05","    31851.45","    31200.90","    31399.40","      294368120","         6636.37"
"08-Jan-2020","    30995.50","    31451.85","    30899.55","    31373.65","      304484779","         6150.28"
"09-Jan-2020","    31748.25","    32172.70","    31667.15","    32092.40","      307977487","         6013.85"
"10-Jan-2020","    32215.70","    32347.20","    31953.40","    32097.40","      444709730","         6362.46"
"13-Jan-2020","    32139.10","    32322.65","    32074.05","    32177.65","      291441682","         4403.11"
"14-Jan-2020","    32196.45","    32196.45","    31989.20","    32071.65","      438912100","         7185.00"
"15-Jan-2020","    31994.75","    32000.90","    31670.35","    31824.90","      545708720","         7722.68"
"16-Jan-2020","    31810.55","    31988.90","    31692.40","    31853.90","      253715802","         5618.01"
"17-Jan-2020","    31571.65","    31773.55","    31445.50","    31590.65","      308136774","         7404.95"
"20-Jan-2020","    31923.95","    31923.95","    31050.95","    31080.65","      282225576","         7796.06"
"21-Jan-2020","    30978.85","    31171.25","    30858.60","    30947.55","      227481016","         6114.46"
"22-Jan-2020","    31061.60","    31149.05","    30614.00","    30701.45","      200582131","         6087.35"
"23-Jan-2020","    30742.20","    31087.25","    30621.35","    31004.05","      343817897","         7242.49"
"24-Jan-2020","    31040.10","    31375.45","    30879.05","    31241.75","      424623379","         6538.81"
"27-Jan-2020","    31110.55","    31227.05","    30808.55","    30837.40","      309934514","         7207.69"
"28-Jan-2020","    30922.00","    31048.45","    30656.35","    30761.40","      239604935","         5707.39"
"29-Jan-2020","    30915.10","    31082.85","    30835.80","    30877.00","      268788386","         5105.28"
"30-Jan-2020","    30889.25","    30909.50","    30521.30","    30647.40","      328858847","         5410.61"
"31-Jan-2020","    30950.50","    31033.45","    30691.80","    30833.60","      333435455","         8892.15"
"01-Feb-2020","    30726.20","    30918.60","    29753.00","    29820.90","      255295791","         5451.95"
"03-Feb-2020","    29811.75","    30105.80","    29612.55","    30023.25","      337112135","         7123.19"
"04-Feb-2020","    30235.30","    30776.95","    30182.45","    30686.70","      336610481","         6719.43"
"05-Feb-2020","    30761.95","    31065.85","    30630.85","    31001.95","      427604425","         6380.13"
"06-Feb-2020","    31070.75","    31470.65","    30917.25","    31304.05","      334000323","         7041.81"
"07-Feb-2020","    31367.05","    31368.20","    31111.05","    31201.95","      254381768","         4762.96"
"10-Feb-2020","    31248.65","    31248.80","    30957.20","    31058.15","      239696426","         4087.30"
"11-Feb-2020","    31230.20","    31505.95","    31225.90","    31300.60","      198887095","         4532.51"
"12-Feb-2020","    31441.15","    31588.60","    31398.15","    31492.90","      225958605","         5411.53"
"13-Feb-2020","    31586.55","    31649.45","    31180.60","    31230.25","      303030451","         5780.04"
"14-Feb-2020","    31281.85","    31436.65","    30776.10","    30834.80","      341366207","         6732.23"
"17-Feb-2020","    30873.85","    30998.15","    30630.50","    30680.70","      251931924","         5100.18"
"18-Feb-2020","    30661.50","    30692.75","    30252.45","    30562.50","      398866924","         6353.48"
"19-Feb-2020","    30905.00","    30947.15","    30606.15","    30838.20","      268822099","         5918.93"
"20-Feb-2020","    30862.30","    31085.30","    30702.45","    30942.85","      273065120","         6647.05"
"24-Feb-2020","    30666.35","    30702.15","    30428.00","    30455.10","      254235861","         6006.34"
"25-Feb-2020","    30517.00","    30610.70","    30329.95","    30432.70","      215913422","         5070.95"
"26-Feb-2020","    30279.95","    30515.35","    30131.75","    30306.85","      290964252","         5885.09"
"27-Feb-2020","    30270.00","    30271.95","    29914.15","    30187.00","      358020830","         7321.45"
"28-Feb-2020","    29501.55","    29564.10","    29051.50","    29147.15","      386879090","         9281.27"
"02-Mar-2020","    29701.00","    29791.15","    28571.70","    28868.40","      368259606","         8026.59"
"03-Mar-2020","    29012.55","    29285.35","    28749.55","    29177.05","      367320137","         7152.89"
"04-Mar-2020","    29252.95","    29273.65","    28125.15","    28653.70","      425845356","         8645.88"
"05-Mar-2020","    28830.30","    29134.30","    28535.60","    28815.35","     1075709340","        12062.92"
"06-Mar-2020","    27649.95","    28047.20","    27162.30","    27801.45","     1568142743","        12009.32"
"09-Mar-2020","    27031.45","    27091.60","    25923.40","    26462.60","     1058982970","        12182.52"
"11-Mar-2020","    26272.75","    26791.45","    26234.10","    26487.80","      723295485","        10720.97"
"12-Mar-2020","    25175.90","    25223.10","    23536.35","    23971.15","      760576349","        13585.60"
"13-Mar-2020","    22720.75","    25670.75","    21351.70","    25166.45","      783385213","        16247.37"
"16-Mar-2020","    24061.60","    24074.15","    23008.25","    23101.15","      481906496","         9586.40"
"17-Mar-2020","    23348.05","    23449.50","    22002.00","    22155.15","      537689478","        10577.21"
"18-Mar-2020","    22411.85","    22544.05","    20267.95","    20580.20","      875287959","        17440.23"
"19-Mar-2020","    19428.95","    21035.05","    18675.65","    20083.50","      476621914","        12018.94"
"20-Mar-2020","    19898.30","    20924.55","    19265.00","    20317.60","      501768418","        13698.45"
"23-Mar-2020","    18311.30","    18895.65","    16791.05","    16917.65","      307639369","         7807.32"
"24-Mar-2020","    17705.85","    17841.40","    16116.25","    17107.30","      391702593","         9905.90"
"25-Mar-2020","    16759.95","    18740.20","    16635.50","    18481.05","      394556026","         9791.54"
"26-Mar-2020","    18781.85","    20409.35","    18364.50","    19613.90","      482884243","        13335.36"
"27-Mar-2020","    20801.60","    21462.40","    19580.10","    19969.00","      539418047","        14946.08"
"30-Mar-2020","    19254.45","    19716.25","    18668.70","    18782.40","      326991879","         9137.65"
"31-Mar-2020","    19307.65","    19466.30","    18792.40","    19144.00","      309805792","         8241.53"
"01-Apr-2020","    19122.40","    19154.75","    18042.25","    18208.35","      274864724","         7400.87"
"03-Apr-2020","    18325.05","    18326.10","    17143.20","    17249.30","      342530350","         8497.01"
"07-Apr-2020","    18454.55","    19190.55","    17953.75","    19062.50","      435419014","        11758.61"
