"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     3438.70","     3446.20","     3420.45","     3437.85","      137209938","         3422.75"
"02-Jan-2020","     3448.15","     3503.65","     3446.75","     3500.30","      272239815","         6277.96"
"03-Jan-2020","     3496.00","     3497.35","     3465.65","     3477.50","      209869759","         5446.66"
"06-Jan-2020","     3456.80","     3461.50","     3398.30","     3403.60","      176670940","         5064.86"
"07-Jan-2020","     3420.20","     3452.30","     3412.90","     3434.40","      205189400","         5852.20"
"08-Jan-2020","     3398.60","     3434.40","     3391.40","     3427.90","      219404249","         5937.37"
"09-Jan-2020","     3472.95","     3484.00","     3461.00","     3477.55","      193415855","         5144.31"
"10-Jan-2020","     3490.70","     3521.65","     3472.00","     3501.15","      207915425","         5460.10"
"13-Jan-2020","     3508.75","     3528.00","     3508.75","     3524.60","      138399602","         4267.74"
"14-Jan-2020","     3529.60","     3543.20","     3518.55","     3533.60","      189118445","         4923.04"
"15-Jan-2020","     3528.30","     3545.95","     3505.65","     3542.85","      173160713","         4672.61"
"16-Jan-2020","     3546.65","     3548.95","     3507.40","     3514.50","      166167335","         4177.68"
"17-Jan-2020","     3507.65","     3531.80","     3503.05","     3516.05","      146240228","         5146.13"
"20-Jan-2020","     3525.40","     3525.65","     3472.90","     3474.70","      278967695","         6080.68"
"21-Jan-2020","     3469.50","     3480.80","     3448.80","     3452.35","      209210867","         5046.78"
"22-Jan-2020","     3459.25","     3460.85","     3405.25","     3410.80","      314674306","         5774.68"
"23-Jan-2020","     3417.30","     3447.65","     3410.90","     3440.95","      627316692","         8111.90"
"24-Jan-2020","     3448.05","     3476.50","     3438.00","     3468.30","      193098934","         5584.52"
"27-Jan-2020","     3451.95","     3462.85","     3419.45","     3427.45","      193033845","         5277.38"
"28-Jan-2020","     3431.10","     3434.20","     3382.40","     3394.20","      224475316","         6150.61"
"29-Jan-2020","     3416.55","     3437.00","     3406.00","     3409.25","      214220109","         5915.99"
"30-Jan-2020","     3416.60","     3416.90","     3358.45","     3367.35","      250010896","         6202.55"
"31-Jan-2020","     3383.40","     3384.90","     3281.25","     3291.70","      394344107","         8138.89"
"01-Feb-2020","     3284.30","     3308.75","     3167.75","     3183.65","      236772345","         5644.80"
