"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    15936.40","    16009.65","    15910.15","    15987.80","       40598613","         1519.79"
"02-Jan-2020","    16007.55","    16146.80","    15981.25","    16128.50","       52973197","         1915.51"
"03-Jan-2020","    16114.30","    16169.55","    16013.90","    16054.80","      108524573","         3156.83"
"06-Jan-2020","    15936.05","    15968.30","    15690.25","    15737.05","       80858149","         2989.44"
"07-Jan-2020","    15819.25","    15948.65","    15753.95","    15793.75","       77592436","         2614.13"
"08-Jan-2020","    15630.25","    15760.50","    15581.60","    15664.95","       61598649","         2307.14"
"09-Jan-2020","    15897.35","    15921.15","    15820.90","    15900.35","       63990475","         2079.72"
"10-Jan-2020","    15972.65","    16037.70","    15872.55","    15940.15","       60324836","         1733.23"
"13-Jan-2020","    15951.75","    16090.60","    15951.75","    16043.35","       61976951","         2205.65"
"14-Jan-2020","    16062.25","    16152.75","    15994.85","    16053.25","       67787639","         2025.91"
"15-Jan-2020","    16067.65","    16075.40","    15941.10","    16019.00","       54366189","         1890.10"
"16-Jan-2020","    16045.20","    16076.75","    15955.15","    15974.40","       70698637","         1821.49"
"17-Jan-2020","    15997.70","    16101.35","    15944.75","    16077.65","       71973524","         3063.59"
"20-Jan-2020","    16196.35","    16196.35","    15833.20","    15854.85","      145801050","         4328.68"
"21-Jan-2020","    15843.05","    15908.60","    15762.75","    15776.95","       99446413","         2623.40"
"22-Jan-2020","    15797.70","    15811.00","    15498.80","    15534.60","      172578675","         3045.66"
"23-Jan-2020","    15567.10","    15771.05","    15543.50","    15704.85","      418584547","         6948.42"
"24-Jan-2020","    15701.15","    15768.70","    15649.75","    15674.65","       87413874","         2217.14"
"27-Jan-2020","    15642.40","    15671.75","    15458.45","    15489.25","       62868591","         1793.08"
"28-Jan-2020","    15526.90","    15529.70","    15309.60","    15363.35","       86877114","         2867.50"
"29-Jan-2020","    15421.70","    15532.60","    15399.95","    15451.90","      104051120","         3123.40"
"30-Jan-2020","    15473.55","    15477.70","    15195.65","    15244.80","      124855431","         3101.75"
"31-Jan-2020","    15318.85","    15322.80","    14790.55","    14838.80","      271863397","         5683.00"
"01-Feb-2020","    14820.00","    14885.55","    14351.30","    14426.35","      137791062","         3280.86"
"03-Feb-2020","    14374.55","    14602.30","    14271.85","    14499.75","      110868454","         3418.66"
"04-Feb-2020","    14619.85","    14968.55","    14619.50","    14953.80","      100393412","         2997.85"
"05-Feb-2020","    14998.25","    15184.55","    14965.85","    15099.15","       90564044","         2836.48"
"06-Feb-2020","    15120.40","    15266.90","    15112.35","    15228.80","       77743865","         2376.28"
"07-Feb-2020","    15206.35","    15237.25","    15106.35","    15189.95","       88003387","         2031.54"
"10-Feb-2020","    15185.85","    15186.55","    14947.25","    15025.50","      132612454","         2729.03"
"11-Feb-2020","    15152.05","    15319.25","    15134.85","    15233.45","      117887221","         2544.62"
"12-Feb-2020","    15268.60","    15380.75","    15198.80","    15234.20","       79215094","         1975.45"
"13-Feb-2020","    15263.80","    15317.90","    15140.40","    15191.25","      101940778","         2252.75"
"14-Feb-2020","    15205.25","    15276.35","    15028.40","    15048.65","      135379107","         3388.19"
"17-Feb-2020","    15095.95","    15148.85","    14761.70","    14816.45","      114970460","         2300.42"
"18-Feb-2020","    14782.45","    14826.60","    14568.60","    14789.85","      138595352","         2555.17"
"19-Feb-2020","    14935.80","    15071.60","    14877.90","    15057.20","       88450235","         2143.01"
"20-Feb-2020","    15012.75","    15088.25","    14964.75","    14987.65","      120418565","         2593.05"
"24-Feb-2020","    14911.90","    14911.90","    14602.60","    14627.45","       83029802","         2502.09"
"25-Feb-2020","    14726.60","    14740.00","    14421.20","    14455.85","       90765288","         2934.02"
"26-Feb-2020","    14411.70","    14426.65","    14148.30","    14189.70","      118668741","         3257.01"
"27-Feb-2020","    14161.45","    14178.65","    13934.50","    14069.05","      142221064","         3220.15"
"28-Feb-2020","    13748.10","    13804.05","    13564.80","    13651.00","      178120158","         4304.09"
"02-Mar-2020","    13914.65","    14048.50","    13311.70","    13419.05","      128249742","         3259.97"
"03-Mar-2020","    13554.30","    13940.45","    13534.05","    13863.70","      115822951","         2977.00"
"04-Mar-2020","    13893.55","    13975.20","    13657.65","    13876.65","      114211684","         2744.21"
"05-Mar-2020","    13956.00","    14039.80","    13707.05","    13743.65","       98597724","         2938.68"
"06-Mar-2020","    13314.45","    13469.20","    13118.05","    13342.60","      118892105","         3342.01"
