"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     3264.70","     3273.65","     3256.75","     3263.25","       82889610","         3544.01"
"02-Jan-2020","     3268.30","     3315.35","     3267.85","     3311.95","      119130646","         5683.75"
"03-Jan-2020","     3311.05","     3311.80","     3283.05","     3294.25","      158844214","         5901.96"
"06-Jan-2020","     3276.55","     3279.55","     3231.85","     3237.15","      140980966","         5742.76"
"07-Jan-2020","     3257.10","     3284.55","     3240.65","     3256.70","      132901836","         5363.18"
"08-Jan-2020","     3223.65","     3248.60","     3216.50","     3242.50","      124866090","         6193.37"
"09-Jan-2020","     3288.35","     3300.55","     3279.65","     3298.50","      141269605","         5795.73"
"10-Jan-2020","     3309.75","     3328.35","     3299.00","     3310.80","      160861231","         6422.14"
"13-Jan-2020","     3316.65","     3334.95","     3316.60","     3332.65","      123612796","         5108.70"
"14-Jan-2020","     3331.55","     3342.80","     3320.80","     3330.90","      122935781","         4501.38"
"15-Jan-2020","     3331.75","     3335.00","     3314.35","     3332.70","      122390104","         4921.71"
"16-Jan-2020","     3342.90","     3350.50","     3331.70","     3335.90","      137113219","         5747.92"
"17-Jan-2020","     3329.50","     3367.20","     3329.50","     3359.85","      204112236","         9507.93"
"20-Jan-2020","     3378.10","     3380.85","     3335.00","     3339.25","      247088918","         8785.88"
"21-Jan-2020","     3335.65","     3349.25","     3330.75","     3335.50","      232075962","         8264.49"
"22-Jan-2020","     3348.40","     3349.40","     3315.85","     3321.65","      245943945","         6448.87"
"23-Jan-2020","     3328.80","     3372.70","     3326.90","     3366.90","      488267464","        11333.00"
"24-Jan-2020","     3364.95","     3392.05","     3359.45","     3385.95","      159128751","         7161.22"
"27-Jan-2020","     3369.35","     3391.70","     3352.15","     3357.45","      116422761","         5213.73"
"28-Jan-2020","     3363.15","     3365.25","     3308.35","     3317.65","      169994645","         7630.00"
"29-Jan-2020","     3332.70","     3351.40","     3323.15","     3330.40","      167589974","         7163.30"
"30-Jan-2020","     3332.50","     3333.40","     3289.05","     3298.65","      185248944","         6284.29"
"31-Jan-2020","     3314.05","     3314.75","     3245.75","     3252.00","      339943578","         9125.90"
"01-Feb-2020","     3246.90","     3275.35","     3143.30","     3155.30","      210849423","         6915.80"
"03-Feb-2020","     3145.90","     3194.85","     3138.70","     3183.00","      214443333","         7553.42"
"04-Feb-2020","     3205.95","     3257.55","     3205.80","     3253.75","      182861065","         6583.40"
"05-Feb-2020","     3263.30","     3297.80","     3255.95","     3291.15","      199408351","         7610.74"
"06-Feb-2020","     3302.50","     3321.30","     3298.20","     3317.10","      162953057","         6599.58"
"07-Feb-2020","     3315.90","     3317.20","     3286.85","     3292.80","      167171865","         5449.22"
"10-Feb-2020","     3292.55","     3293.20","     3247.70","     3262.20","      194692828","         6081.29"
"11-Feb-2020","     3283.10","     3301.40","     3276.70","     3281.10","      174007797","         5329.68"
"12-Feb-2020","     3289.10","     3301.95","     3280.30","     3290.15","      130450887","         4669.32"
"13-Feb-2020","     3293.60","     3294.65","     3270.85","     3281.85","      180459175","         4798.08"
"14-Feb-2020","     3290.05","     3299.80","     3263.65","     3279.90","      241529527","         8880.21"
"17-Feb-2020","     3286.25","     3290.30","     3243.45","     3247.55","      192131527","         5801.29"
"18-Feb-2020","     3242.20","     3242.20","     3194.10","     3229.70","      235368998","         6934.63"
"19-Feb-2020","     3258.30","     3274.80","     3248.40","     3271.45","      174137238","         6110.02"
"20-Feb-2020","     3264.30","     3280.60","     3256.60","     3259.10","      205059908","         6029.81"
"24-Feb-2020","     3242.95","     3242.95","     3181.90","     3187.85","      178114867","         6070.64"
"25-Feb-2020","     3202.60","     3204.35","     3153.60","     3159.00","      194844143","         6980.38"
"26-Feb-2020","     3147.00","     3149.45","     3109.50","     3116.50","      218185669","         7632.93"
"27-Feb-2020","     3112.45","     3113.50","     3079.00","     3102.50","      229355750","         6979.70"
"28-Feb-2020","     3041.55","     3042.50","     2998.50","     3011.25","      293146128","         9623.83"
"02-Mar-2020","     3059.55","     3084.45","     2947.90","     2972.35","      222868937","         7102.88"
"03-Mar-2020","     2998.90","     3056.85","     2992.60","     3044.80","      199268526","         6907.24"
"04-Mar-2020","     3055.35","     3060.40","     2980.15","     3024.65","      214228334","         7729.81"
"05-Mar-2020","     3042.85","     3049.70","     3009.50","     3014.70","      187528130","         6540.95"
"06-Mar-2020","     2930.15","     2958.30","     2899.05","     2949.55","      190589395","         6508.14"
"09-Mar-2020","     2889.90","     2891.85","     2755.10","     2791.65","      433922003","        13634.50"
"11-Mar-2020","     2773.35","     2832.95","     2772.90","     2787.70","      347132656","        10349.41"
"12-Mar-2020","     2663.55","     2667.15","     2547.50","     2561.90","      444179807","        11267.43"
"13-Mar-2020","     2421.05","     2708.25","     2266.50","     2674.90","      461103200","        12583.17"
