"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","     2805.45","     2818.00","     2773.75","     2796.05","      107671089","         1847.73"
"02-Jan-2020","     2818.40","     2873.10","     2818.20","     2869.90","      235152637","         3250.47"
"03-Jan-2020","     2860.65","     2867.75","     2835.55","     2848.35","      129974194","         2030.92"
"06-Jan-2020","     2828.25","     2829.00","     2761.45","     2765.75","      103564241","         1604.53"
"07-Jan-2020","     2785.25","     2815.25","     2763.30","     2785.90","      132967777","         2217.16"
"08-Jan-2020","     2751.20","     2777.20","     2736.40","     2767.25","      155905479","         2508.60"
"09-Jan-2020","     2814.95","     2820.45","     2787.25","     2806.80","      127392791","         2142.61"
"10-Jan-2020","     2820.60","     2864.55","     2803.20","     2840.75","      150019071","         2565.10"
"13-Jan-2020","     2851.85","     2877.35","     2846.15","     2874.10","       99128959","         1748.41"
"14-Jan-2020","     2880.50","     2917.10","     2876.85","     2900.65","      134446695","         2373.46"
"15-Jan-2020","     2888.80","     2927.95","     2870.80","     2921.45","      125337815","         2137.93"
"16-Jan-2020","     2920.10","     2924.10","     2872.50","     2884.80","      109111806","         1825.65"
"17-Jan-2020","     2882.90","     2895.00","     2860.60","     2864.65","       82853773","         1356.37"
"20-Jan-2020","     2872.70","     2882.35","     2832.25","     2835.85","      100482749","         1669.44"
"21-Jan-2020","     2823.65","     2845.75","     2794.35","     2799.95","      107638493","         1886.95"
"22-Jan-2020","     2804.80","     2806.15","     2749.50","     2756.75","      116380307","         1928.19"
"23-Jan-2020","     2759.05","     2779.35","     2750.95","     2769.25","      139648420","         2199.00"
"24-Jan-2020","     2772.40","     2808.00","     2756.90","     2796.20","       93124814","         1626.56"
"27-Jan-2020","     2766.70","     2767.65","     2698.50","     2709.75","      123485073","         2308.55"
"28-Jan-2020","     2705.75","     2706.95","     2625.20","     2642.25","      132512577","         2374.44"
"29-Jan-2020","     2673.10","     2700.40","     2662.35","     2665.85","      110717373","         1910.48"
"30-Jan-2020","     2667.40","     2669.55","     2621.05","     2628.90","      126951289","         2236.22"
"31-Jan-2020","     2642.25","     2645.70","     2559.85","     2569.00","      137534113","         2200.16"
"01-Feb-2020","     2557.40","     2575.90","     2460.00","     2480.55","      116428570","         1941.93"
"03-Feb-2020","     2475.45","     2522.70","     2458.45","     2510.95","      131170680","         2152.27"
"04-Feb-2020","     2537.60","     2598.85","     2523.70","     2594.25","      112808619","         1964.28"
"05-Feb-2020","     2605.70","     2677.80","     2585.80","     2665.40","      127180315","         2193.92"
"06-Feb-2020","     2684.75","     2708.65","     2662.75","     2688.75","      133425015","         2448.93"
"07-Feb-2020","     2684.20","     2715.85","     2660.80","     2710.80","      114189552","         2086.34"
"10-Feb-2020","     2687.65","     2692.85","     2616.75","     2628.90","      133847259","         2597.23"
"11-Feb-2020","     2650.85","     2683.10","     2648.20","     2651.75","      137925323","         2383.44"
"12-Feb-2020","     2669.00","     2691.05","     2653.05","     2668.25","      109788845","         1897.38"
"13-Feb-2020","     2671.40","     2674.85","     2635.10","     2651.60","       85232381","         1476.72"
"14-Feb-2020","     2649.50","     2663.25","     2608.85","     2613.60","       89067532","         1530.78"
"17-Feb-2020","     2614.35","     2622.35","     2581.75","     2586.70","      104089806","         1568.64"
"18-Feb-2020","     2572.40","     2573.30","     2514.00","     2556.05","      127284914","         2004.95"
"19-Feb-2020","     2588.30","     2606.80","     2569.60","     2591.05","      102756753","         1553.44"
"20-Feb-2020","     2582.95","     2627.25","     2568.25","     2612.25","      114333180","         1916.22"
"24-Feb-2020","     2578.80","     2578.80","     2463.25","     2469.60","      134909623","         2351.17"
"25-Feb-2020","     2495.25","     2510.75","     2462.05","     2470.35","      117122552","         2040.54"
"26-Feb-2020","     2431.60","     2456.55","     2416.40","     2430.00","      123856240","         2121.28"
"27-Feb-2020","     2424.20","     2425.30","     2367.80","     2410.05","      117509544","         1799.66"
"28-Feb-2020","     2333.20","     2335.05","     2230.60","     2246.05","      203174565","         3012.23"
"02-Mar-2020","     2307.60","     2326.55","     2169.05","     2197.60","      161174340","         2441.01"
"03-Mar-2020","     2238.95","     2339.45","     2238.05","     2320.75","      175329617","         2684.79"
"04-Mar-2020","     2321.95","     2323.95","     2247.25","     2304.30","      177381029","         2592.46"
"05-Mar-2020","     2327.65","     2351.45","     2278.00","     2284.85","      146859224","         2031.86"
"06-Mar-2020","     2171.05","     2201.65","     2133.80","     2183.90","      117204890","         1671.76"
"09-Mar-2020","     2101.95","     2107.95","     2004.00","     2020.05","      186736947","         2398.00"
"11-Mar-2020","     2010.30","     2032.95","     1968.35","     1986.95","      204547100","         2715.66"
"12-Mar-2020","     1869.80","     1875.60","     1768.25","     1800.60","      250273602","         3137.14"
"13-Mar-2020","     1677.65","     1922.90","     1546.15","     1903.35","      279252967","         3194.66"
"16-Mar-2020","     1807.60","     1852.45","     1722.50","     1730.60","      193262175","         2306.64"
"17-Mar-2020","     1757.65","     1816.00","     1699.85","     1710.45","      187154130","         2028.00"
"18-Mar-2020","     1761.60","     1763.10","     1640.15","     1664.20","      207200136","         2084.24"
"19-Mar-2020","     1584.00","     1649.70","     1558.05","     1574.20","      190771195","         1867.18"
"20-Mar-2020","     1605.05","     1714.90","     1582.40","     1692.85","      191057441","         1860.41"
"23-Mar-2020","     1538.25","     1587.45","     1480.70","     1496.45","      109383947","         1115.39"
"24-Mar-2020","     1539.50","     1579.70","     1485.20","     1502.40","      136431730","         1162.75"
"25-Mar-2020","     1485.25","     1557.05","     1483.80","     1541.20","      113944103","          945.89"
"26-Mar-2020","     1561.60","     1596.30","     1523.85","     1542.95","      158858121","         1428.19"
"27-Mar-2020","     1580.70","     1606.75","     1528.55","     1554.85","      138629039","         1236.40"
"30-Mar-2020","     1506.40","     1527.60","     1483.50","     1507.70","      113197414","         1170.39"
"31-Mar-2020","     1544.50","     1601.00","     1539.25","     1585.90","      185188259","         1566.45"
"01-Apr-2020","     1575.75","     1578.40","     1535.25","     1553.55","      139382093","         1225.51"
"03-Apr-2020","     1563.55","     1568.75","     1496.65","     1522.90","      149271522","         1372.77"
"07-Apr-2020","     1579.70","     1648.50","     1559.15","     1637.00","      221845744","         1960.95"
"08-Apr-2020","     1613.40","     1726.40","     1597.05","     1624.85","      254788623","         2320.79"
"09-Apr-2020","     1665.30","     1709.55","     1660.10","     1705.45","      171463356","         1687.90"
"13-Apr-2020","     1714.50","     1745.20","     1659.95","     1738.40","      174048377","         1785.06"
"15-Apr-2020","     1771.20","     1814.45","     1735.30","     1752.90","      218389670","         2460.63"
"16-Apr-2020","     1738.55","     1798.75","     1724.35","     1779.75","      164419124","         1817.86"
"17-Apr-2020","     1837.20","     1842.15","     1784.05","     1816.50","      149469809","         1611.41"
"20-Apr-2020","     1842.40","     1842.90","     1750.25","     1756.45","      152206988","         1551.40"
"21-Apr-2020","     1712.60","     1714.50","     1649.25","     1666.60","      174668213","         1734.85"
"22-Apr-2020","     1651.75","     1680.20","     1616.65","     1673.30","      138323328","         1351.36"
"23-Apr-2020","     1685.55","     1725.50","     1679.95","     1694.75","      132411436","         1405.19"
"24-Apr-2020","     1680.45","     1709.60","     1641.45","     1645.20","      197401203","         1637.54"
"27-Apr-2020","     1672.60","     1687.45","     1664.10","     1666.60","      111601513","         1158.91"
"28-Apr-2020","     1678.30","     1685.95","     1653.80","     1661.65","      112137492","         1107.54"
"29-Apr-2020","     1666.35","     1730.80","     1662.20","     1723.80","      190737433","         1930.20"
"30-Apr-2020","     1763.50","     1871.95","     1761.05","     1859.90","      254541594","         2866.96"
"04-May-2020","     1769.25","     1772.30","     1704.55","     1713.80","      146066900","         1531.84"
"05-May-2020","     1748.80","     1755.50","     1685.45","     1693.65","      145812363","         1549.36"
"06-May-2020","     1707.80","     1719.80","     1681.00","     1697.95","      113508461","         1212.35"
"07-May-2020","     1676.35","     1717.65","     1672.05","     1695.55","      102660412","         1177.12"
"08-May-2020","     1734.85","     1737.00","     1671.00","     1676.55","      101840611","         1161.01"
"11-May-2020","     1695.30","     1720.10","     1688.30","     1697.90","      106473542","         1188.18"
"12-May-2020","     1687.20","     1727.30","     1657.40","     1717.55","      210393978","         2110.83"
"13-May-2020","     1812.20","     1813.55","     1750.80","     1760.60","      282829818","         2843.09"
"14-May-2020","     1732.15","     1753.25","     1710.30","     1715.05","      116071601","         1228.53"
"15-May-2020","     1728.80","     1763.85","     1714.15","     1742.60","      206532996","         2007.70"
"18-May-2020","     1746.20","     1746.40","     1667.80","     1673.50","      216301436","         2179.58"
"19-May-2020","     1701.40","     1722.15","     1683.10","     1693.55","      156826674","         1681.32"
"20-May-2020","     1690.95","     1716.05","     1681.55","     1711.50","      104498429","         1213.21"
"21-May-2020","     1718.15","     1759.45","     1707.75","     1742.90","      166597091","         1796.08"
"22-May-2020","     1725.65","     1726.60","     1697.70","     1710.45","      114714267","         1226.16"
"26-May-2020","     1724.95","     1763.95","     1724.35","     1756.35","      183828784","         2122.34"
"27-May-2020","     1763.55","     1813.40","     1756.00","     1801.25","      187432158","         2043.65"
"28-May-2020","     1813.70","     1852.75","     1804.10","     1844.50","      160808814","         1904.52"
"29-May-2020","     1823.05","     1890.75","     1814.75","     1879.85","      175975027","         1952.28"
"01-Jun-2020","     1909.80","     1968.20","     1907.00","     1952.50","      181711821","         2437.72"
"02-Jun-2020","     1967.85","     1976.05","     1936.00","     1956.10","      167542617","         1983.07"
"03-Jun-2020","     1980.85","     1995.60","     1943.85","     1952.70","      140729429","         1651.55"
"04-Jun-2020","     1951.75","     1979.30","     1939.30","     1972.90","      179091774","         2085.30"
"05-Jun-2020","     1995.90","     2057.05","     1990.15","     2049.70","      264439637","         3363.83"
"08-Jun-2020","     2088.25","     2105.65","     2029.70","     2044.85","      214880748","         2490.59"
"09-Jun-2020","     2060.45","     2076.55","     2013.85","     2022.50","      157991339","         1898.77"
"10-Jun-2020","     2020.30","     2029.80","     1995.05","     2010.80","      134301641","         1819.16"
"11-Jun-2020","     2000.75","     2019.35","     1948.30","     1954.85","      119795934","         1467.58"
"12-Jun-2020","     1873.40","     1972.75","     1872.40","     1966.10","      137656103","         1720.77"
"15-Jun-2020","     1966.30","     1967.00","     1915.95","     1928.55","      147660917","         1984.70"
"16-Jun-2020","     1976.85","     2001.05","     1918.05","     1955.90","      212262130","         2711.23"
"17-Jun-2020","     1947.50","     1974.85","     1935.30","     1940.45","      118634682","         1404.50"
