"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    13819.70","    13840.80","    13787.95","    13801.55","       83673384","         1268.20"
"02-Jan-2020","    13831.60","    13890.90","    13825.90","    13880.75","      128046848","         1791.73"
"03-Jan-2020","    13877.30","    13877.30","    13754.75","    13783.40","      121738053","         1785.31"
"06-Jan-2020","    13734.40","    13739.25","    13485.65","    13498.55","      103418634","         1671.23"
"07-Jan-2020","    13576.25","    13667.75","    13541.20","    13579.95","      136869335","         1827.54"
"08-Jan-2020","    13468.75","    13605.35","    13433.35","    13597.25","      373682712","         2144.09"
"09-Jan-2020","    13722.70","    13771.45","    13692.70","    13756.00","      432983441","         2416.90"
"10-Jan-2020","    13794.05","    13852.60","    13752.75","    13791.90","      153381154","         2055.72"
"13-Jan-2020","    13833.75","    13870.85","    13820.80","    13862.40","      170271471","         1878.08"
"14-Jan-2020","    13888.10","    14006.60","    13866.50","    13990.20","      122369739","         2337.93"
"15-Jan-2020","    14011.55","    14057.70","    13955.75","    14043.50","      175527137","         2103.04"
"16-Jan-2020","    14054.95","    14146.30","    14049.15","    14132.05","      245825390","         2633.38"
"17-Jan-2020","    14147.50","    14167.55","    14096.10","    14146.85","     1114018377","         2469.02"
"20-Jan-2020","    14164.05","    14194.35","    14069.75","    14087.05","      366952637","         1680.25"
"21-Jan-2020","    14066.50","    14117.15","    14013.40","    14028.85","      686428337","         1958.13"
"22-Jan-2020","    14086.55","    14102.60","    13970.35","    13989.55","      347707266","         2207.38"
"23-Jan-2020","    13990.80","    14064.50","    13960.40","    14052.70","      381182625","         1743.49"
"24-Jan-2020","    14080.65","    14226.40","    14053.20","    14189.35","      189565965","         1996.31"
"27-Jan-2020","    14130.90","    14216.00","    14054.05","    14083.50","      174584995","         1820.99"
"28-Jan-2020","    14130.55","    14155.40","    14020.05","    14032.35","      329005925","         4399.57"
"29-Jan-2020","    14116.80","    14199.20","    14070.55","    14097.00","      262869427","         3855.24"
"30-Jan-2020","    14091.45","    14100.10","    13871.00","    13907.35","      287979086","         2331.48"
"31-Jan-2020","    13963.75","    13965.95","    13734.85","    13760.30","      206960590","         2553.23"
"01-Feb-2020","    13745.05","    13910.05","    13561.80","    13636.85","      185277997","         2856.43"
"03-Feb-2020","    13627.75","    13987.75","    13621.00","    13958.00","      180827070","         3407.92"
"04-Feb-2020","    14006.20","    14158.30","    13967.40","    14131.75","      129416349","         2741.13"
"05-Feb-2020","    14202.95","    14260.40","    14091.05","    14149.60","      178197057","         2480.51"
"06-Feb-2020","    14208.15","    14268.70","    14124.15","    14172.70","      160201860","         2281.08"
"07-Feb-2020","    14207.35","    14239.40","    14134.15","    14219.95","      171662478","         2793.17"
"10-Feb-2020","    14234.70","    14235.35","    14069.45","    14101.90","      126345591","         2209.02"
"11-Feb-2020","    14177.05","    14201.30","    14036.95","    14066.40","      176469375","         2322.24"
"12-Feb-2020","    14092.60","    14233.25","    14083.05","    14174.05","      339325474","         3353.54"
"13-Feb-2020","    14172.65","    14263.75","    14141.00","    14251.35","      165620109","         2913.55"
"14-Feb-2020","    14236.35","    14345.90","    14053.85","    14076.95","     1459862746","         2722.30"
"17-Feb-2020","    14096.70","    14151.05","    14042.85","    14057.90","      852271461","         2088.50"
"18-Feb-2020","    14055.30","    14057.55","    13876.45","    13995.30","      688457370","         2369.82"
"19-Feb-2020","    14089.45","    14184.80","    14050.35","    14171.40","     1054164102","         2560.06"
"20-Feb-2020","    14161.30","    14220.70","    14098.35","    14110.00","     1012040404","         2504.24"
"24-Feb-2020","    14076.85","    14076.90","    13837.95","    13856.55","      749372217","         2793.68"
"25-Feb-2020","    13906.20","    13993.80","    13815.60","    13828.80","      674390567","         2905.31"
"26-Feb-2020","    13818.25","    13842.75","    13647.20","    13673.15","      391790185","         3424.51"
"27-Feb-2020","    13697.05","    13701.00","    13522.45","    13657.65","      461101786","         3265.12"
"28-Feb-2020","    13401.40","    13424.85","    13218.15","    13256.85","      515010029","         4339.18"
"02-Mar-2020","    13407.40","    13558.65","    13137.00","    13224.30","      333708468","         3006.28"
"03-Mar-2020","    13315.90","    13511.20","    13282.95","    13467.85","      396307116","         3051.17"
"04-Mar-2020","    13513.45","    13528.65","    13201.60","    13416.20","      297357049","         2891.94"
"05-Mar-2020","    13464.25","    13584.55","    13436.70","    13464.45","      411717073","         2818.72"
"06-Mar-2020","    13168.20","    13376.05","    13067.60","    13332.00","      390681639","         2720.63"
"09-Mar-2020","    13112.10","    13151.00","    12743.40","    12847.90","      771928640","         3162.11"
"11-Mar-2020","    12805.95","    12964.65","    12679.95","    12802.45","      792486860","         3042.88"
"12-Mar-2020","    12462.50","    12463.50","    11848.55","    11975.95","      838511976","         4232.18"
"13-Mar-2020","    11332.15","    12422.10","    10746.40","    12177.05","     1518692008","         4544.40"
"16-Mar-2020","    11840.40","    11894.95","    11529.65","    11602.55","     1395537583","         3536.17"
"17-Mar-2020","    11661.30","    11896.65","    11543.00","    11583.25","      776300209","         3688.31"
"18-Mar-2020","    11719.50","    11767.05","    10977.70","    11034.15","     2300815153","         3731.84"
"19-Mar-2020","    10593.50","    10723.25","    10212.30","    10438.35","      759593013","         4758.57"
"20-Mar-2020","    10540.15","    11119.20","    10457.00","    11009.80","      546218642","         3902.63"
"23-Mar-2020","    10120.45","    10453.60","     9648.20","     9683.40","      417579766","         2858.15"
"24-Mar-2020","     9965.65","    10299.85","     9743.35","    10058.60","      399366663","         3626.75"
"25-Mar-2020","     9958.45","    10546.45","     9926.70","    10481.70","      243192292","         3467.45"
"26-Mar-2020","    10585.60","    10967.75","    10423.40","    10874.55","      304069856","         3392.88"
"27-Mar-2020","    11236.95","    11279.20","    10627.00","    10690.95","      233128344","         2998.34"
"30-Mar-2020","    10590.35","    10787.35","    10495.55","    10664.25","      152291440","         2850.64"
"31-Mar-2020","    10927.35","    11100.60","    10758.15","    11069.30","      257451332","         3194.67"
"01-Apr-2020","    11091.15","    11142.65","    10715.70","    10791.10","      254850455","         2614.05"
"03-Apr-2020","    10882.60","    10882.60","    10614.40","    10631.95","      271013987","         3254.39"
"07-Apr-2020","    10952.85","    11493.55","    10933.85","    11465.30","      257508802","         5408.40"
"08-Apr-2020","    11388.45","    11933.15","    11345.15","    11592.35","      307064590","         6450.32"
"09-Apr-2020","    11821.40","    11960.85","    11743.15","    11940.60","      233168756","         5306.82"
"13-Apr-2020","    11993.80","    11996.65","    11662.60","    11915.35","      918419049","         4038.51"
"15-Apr-2020","    12078.00","    12328.80","    12029.70","    12130.65","      872106244","        11352.43"
"16-Apr-2020","    12083.20","    12302.00","    11984.15","    12225.65","      515908005","         4703.77"
"17-Apr-2020","    12544.60","    12545.70","    12154.55","    12271.90","      620853376","         4586.84"
"20-Apr-2020","    12385.70","    12385.75","    12092.10","    12118.30","      364146543","         3245.50"
"21-Apr-2020","    11894.45","    12005.35","    11784.45","    11920.90","      338977504","         3623.09"
"22-Apr-2020","    11902.70","    12181.80","    11813.20","    12161.75","      524917711","         4051.37"
"23-Apr-2020","    12217.05","    12425.55","    12133.70","    12174.90","      762816002","         4928.62"
"24-Apr-2020","    12121.65","    12253.20","    12049.40","    12074.70","      390245571","         3661.43"
"27-Apr-2020","    12203.65","    12373.30","    12191.05","    12339.60","      311474184","         3558.03"
"28-Apr-2020","    12463.05","    12470.55","    12222.00","    12254.25","      385746700","         3519.77"
"29-Apr-2020","    12323.25","    12358.05","    12272.00","    12311.90","      440251258","         3613.30"
"30-Apr-2020","    12481.40","    12552.00","    12431.75","    12524.90","      458921251","         5992.81"
"04-May-2020","    12195.80","    12211.80","    12001.05","    12053.45","      548610522","         5269.80"
"05-May-2020","    12193.60","    12229.05","    11813.85","    11845.15","      286256770","         4088.07"
"06-May-2020","    11880.85","    12005.75","    11732.20","    11851.80","      517618681","         4467.39"
"07-May-2020","    11823.00","    11844.65","    11711.60","    11730.35","      409312561","        38389.05"
"08-May-2020","    11932.30","    11932.30","    11827.85","    11851.70","      255997402","         6064.76"
"11-May-2020","    11943.65","    12030.45","    11930.20","    11950.35","     1045765192","         6497.70"
"12-May-2020","    11917.05","    12049.05","    11775.20","    12017.30","      763448676","         7517.42"
"13-May-2020","    12398.80","    12398.80","    11995.35","    12016.40","      685993102","         7698.89"
"14-May-2020","    11935.70","    12104.10","    11896.20","    12041.90","      360679804","         6293.19"
"15-May-2020","    12108.80","    12111.40","    11989.55","    12079.95","      373318253","         5347.95"
"18-May-2020","    12097.05","    12106.85","    11735.75","    11753.85","      518957534","         6274.14"
"19-May-2020","    11899.00","    11906.20","    11734.00","    11762.80","      973185197","         4518.99"
"20-May-2020","    11775.05","    11900.55","    11752.95","    11873.35","      576340110","         3552.84"
"21-May-2020","    11902.10","    12012.75","    11860.80","    11959.30","      504594514","         4307.08"
"22-May-2020","    11935.55","    11997.00","    11856.00","    11944.45","      423075157","         3953.88"
"26-May-2020","    12029.85","    12077.30","    11984.70","    12013.80","      325876717","         3969.09"
"27-May-2020","    12069.45","    12073.70","    11912.40","    12033.85","      265184954","         3500.76"
"28-May-2020","    12064.15","    12251.75","    12035.80","    12238.90","      588494872","         5044.63"
"29-May-2020","    12211.95","    12527.60","    12186.90","    12497.75","     2637995303","         9395.45"
"01-Jun-2020","    12608.75","    12741.20","    12588.75","    12666.75","      646390262","         5670.53"
"02-Jun-2020","    12742.05","    12775.45","    12651.15","    12722.35","     1052398740","         4917.06"
"03-Jun-2020","    12874.80","    12971.10","    12760.00","    12795.50","     1070519912","         6080.81"
"04-Jun-2020","    12822.25","    12913.10","    12726.10","    12818.80","     1005807761","         4851.78"
"05-Jun-2020","    12905.30","    13017.05","    12860.95","    12996.25","     1949337171","         5820.65"
"08-Jun-2020","    13148.30","    13176.20","    13010.60","    13036.75","     2166866310","         7410.56"
"09-Jun-2020","    13070.85","    13107.80","    12862.95","    12898.80","     1685104534","         5497.35"
"10-Jun-2020","    12917.90","    12975.55","    12882.25","    12921.65","     1198635974","         4283.04"
"11-Jun-2020","    12926.05","    12981.85","    12673.65","    12696.80","     2325378355","         5803.92"
"12-Jun-2020","    12309.45","    12809.95","    12308.80","    12791.25","     1611595920","         5473.42"
"15-Jun-2020","    12809.05","    12862.55","    12660.80","    12697.65","      941538268","         4111.95"
"16-Jun-2020","    12876.85","    12885.50","    12547.65","    12663.35","      886661580","         3894.26"
"17-Jun-2020","    12635.55","    12787.45","    12624.90","    12715.60","      499320075","         4336.77"
