"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","      299.45","      300.65","      296.90","      297.85","       12878961","          188.23"
"02-Jan-2020","      299.15","      302.40","      298.20","      301.00","       12237219","          208.29"
"03-Jan-2020","      300.70","      302.15","      298.35","      299.65","        9712668","          181.18"
"06-Jan-2020","      299.10","      299.75","      292.05","      292.40","       17160303","          289.78"
"07-Jan-2020","      294.40","      298.95","      293.95","      298.05","       10287489","          229.75"
"08-Jan-2020","      292.25","      297.90","      291.35","      297.05","       13377734","          252.00"
"09-Jan-2020","      300.65","      305.80","      300.20","      305.15","       18103713","          402.97"
"10-Jan-2020","      308.05","      311.75","      305.90","      310.65","       23237643","          554.39"
"13-Jan-2020","      312.00","      317.65","      311.85","      317.15","       21595639","          510.78"
"14-Jan-2020","      317.35","      318.45","      314.65","      316.75","       13116258","          295.80"
"15-Jan-2020","      315.60","      322.65","      315.60","      320.90","       15290571","          358.37"
"16-Jan-2020","      321.75","      324.80","      320.70","      323.80","       10929988","          267.16"
"17-Jan-2020","      323.25","      325.05","      322.35","      324.15","       10556921","          263.07"
"20-Jan-2020","      324.95","      327.00","      323.20","      325.80","       14372108","          387.76"
"21-Jan-2020","      325.15","      325.30","      320.10","      321.15","        9400990","          273.09"
"22-Jan-2020","      322.65","      323.05","      318.85","      320.85","        8135501","          221.15"
"23-Jan-2020","      321.35","      328.05","      321.15","      327.65","       11243092","          317.83"
"24-Jan-2020","      329.20","      330.25","      326.80","      328.65","       11253589","          329.16"
"27-Jan-2020","      328.80","      332.40","      325.55","      326.80","       11546185","          320.13"
"28-Jan-2020","      326.80","      329.25","      325.20","      326.95","       11245597","          283.50"
"29-Jan-2020","      329.45","      331.85","      327.60","      328.50","        9391548","          265.18"
"30-Jan-2020","      329.75","      330.05","      323.55","      327.15","        9798856","          274.61"
"31-Jan-2020","      329.85","      331.90","      326.50","      331.05","       19472690","          442.94"
"01-Feb-2020","      329.70","      336.35","      302.90","      305.00","       29269941","          715.39"
"03-Feb-2020","      303.50","      312.55","      298.70","      310.00","       25056162","          694.10"
"04-Feb-2020","      310.10","      322.20","      308.60","      318.60","       22765958","          554.97"
"05-Feb-2020","      321.35","      329.95","      318.75","      326.40","       17529955","          526.01"
"06-Feb-2020","      324.10","      329.80","      322.30","      326.25","       23676233","          581.14"
"07-Feb-2020","      325.80","      326.80","      319.45","      320.30","       17123995","          403.10"
"10-Feb-2020","      320.50","      321.00","      315.10","      317.10","       11231560","          253.38"
