"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2020","    17497.70","    17525.35","    17454.80","    17490.50","      230421459","         6139.26"
"02-Jan-2020","    17505.40","    17626.90","    17497.40","    17614.30","      291236691","         8542.44"
"03-Jan-2020","    17568.95","    17605.05","    17489.15","    17541.15","      300027876","        10511.55"
"06-Jan-2020","    17467.60","    17481.10","    17150.95","    17187.80","      308097040","        11347.23"
"07-Jan-2020","    17321.85","    17429.05","    17198.40","    17267.45","      348124394","        12518.56"
"08-Jan-2020","    17091.85","    17290.50","    17081.55","    17277.05","      344798477","        11877.79"
"09-Jan-2020","    17439.00","    17553.90","    17406.40","    17534.55","      368294497","        12399.13"
"10-Jan-2020","    17624.60","    17662.05","    17496.00","    17557.00","      520487113","        12169.87"
"13-Jan-2020","    17632.25","    17698.70","    17604.70","    17682.15","      394120889","        11895.55"
"14-Jan-2020","    17687.95","    17743.20","    17636.65","    17722.05","      512572017","        12483.53"
"15-Jan-2020","    17689.25","    17690.70","    17539.50","    17653.70","      594542812","        12313.94"
"16-Jan-2020","    17655.65","    17719.30","    17598.00","    17670.20","      316287161","        10255.28"
"17-Jan-2020","    17598.40","    17662.65","    17573.15","    17596.10","      389100047","        14301.59"
"20-Jan-2020","    17721.20","    17721.20","    17389.40","    17403.45","      388035032","        15273.47"
"21-Jan-2020","    17359.65","    17432.15","    17304.85","    17360.10","      338417087","        13414.93"
"22-Jan-2020","    17423.75","    17462.50","    17243.35","    17280.75","      337483580","        13096.91"
"23-Jan-2020","    17303.20","    17422.90","    17266.70","    17406.60","      579848598","        16302.49"
"24-Jan-2020","    17381.25","    17533.35","    17324.35","    17505.45","      502081132","        12074.54"
"27-Jan-2020","    17441.80","    17456.15","    17269.45","    17288.35","      319648362","        10855.20"
"28-Jan-2020","    17339.00","    17390.00","    17229.70","    17283.40","      309044672","        12227.80"
"29-Jan-2020","    17373.05","    17427.50","    17334.85","    17363.05","      335675064","        12349.32"
"30-Jan-2020","    17395.70","    17399.75","    17208.00","    17252.55","      351595025","        11582.25"
"31-Jan-2020","    17349.00","    17367.85","    17175.05","    17219.60","      476356987","        16081.60"
"01-Feb-2020","    17177.10","    17267.40","    16747.10","    16778.40","      360626823","        13113.81"
